127.0.0.1 - - [04/Jun/2019:21:13:49 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:13:50 +0900] "GET /dev_script/html_day1/div_span.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:13:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:18:52 +0900] "GET /dev_script/html_day1/div_span.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:20:51 +0900] "GET /dev_script/html_day1/div_span.html HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:21:09 +0900] "GET /dev_script/html_day1/div_span.html HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:33:26 +0900] "GET /dev_script/css_day1/boxSizing.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [04/Jun/2019:21:35:36 +0900] "GET /dev_script/css_day1/boxSizing.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:03:30 +0900] "GET /dev_script/css_day1/boxSizing.html HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:04:21 +0900] "GET /dev_script/css_day1/boxSizing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:04:22 +0900] "GET /dev_script/css_day1/boxSizing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:04:48 +0900] "GET /dev_script/css_day1/boxSizing.html?4 HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:05:24 +0900] "GET /dev_script/css_day1/boxSizing.html HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:10:50 +0900] "GET /dev_script/css_day1/boxSizing2.html HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:14:12 +0900] "GET /dev_script/css_day1/boxSizing2.html HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:14:32 +0900] "GET /dev_script/css_day1/boxSizing2.html HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:14:33 +0900] "GET /dev_script/css_day1/boxSizing2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:14:36 +0900] "GET /dev_script/css_day1/boxSizing2.html?5 HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:15:18 +0900] "GET /dev_script/css_day1/boxSizing2.html?5 HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:16:40 +0900] "GET /dev_script/css_day1/boxSizing2.html?5 HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [04/Jun/2019:22:18:42 +0900] "GET /dev_script/css_day1/boxSizing2.html?5 HTTP/1.1" 200 1870
